traits	species
JG02_a	0
JG02_b	0
JG04_a	0
JG04_b	0
JG05_a	0
JG05_b	0
JG06_a	0
JG06_b	0
JG08_a	0
JG08_b	0
JG09_a	0
JG09_b	0
JG10_a	0
JG10_b	0
JG11_a	0
JG11_b	0
JG12_a	0
JG12_b	0
JG14_a	0
JG14_b	0
JG15_a	0
JG15_b	0
JDD01_a	1
JDD01_b	1
JDD02_a	1
JDD02_b	1
JDD03_a	1
JDD03_b	1
JDD04_a	1
JDD04_b	1
JDD05_a	1
JDD05_b	1
JDD07_a	1
JDD07_b	1
JDD08_a	1
JDD08_b	1
JDD09_a	1
JDD09_b	1
JDD10_a	1
JDD10_b	1
JDD11_a	1
JDD11_b	1
JDD12_a	1
JDD12_b	1
JDD13_a	1
JDD13_b	1
JDD14_a	1
JDD14_b	1
JDD44_a	1
JDD44_b	1
JDD53_a	1
JDD53_b	1
JDD54_a	1
JDD54_b	1
JDD55_a	1
JDD55_b	1
JDD6_a	1
JDD6_b	1
JDP16_a	2
JDP16_b	2
JDP17_a	2
JDP17_b	2
JDP20_a	2
JDP20_b	2
JDP21_a	2
JDP21_b	2
JDP22_a	2
JDP22_b	2
JDP23_a	2
JDP23_b	2
JDP25_a	2
JDP25_b	2
JDP26_a	2
JDP26_b	2
JDP28_a	2
JDP28_b	2
JDP29_a	2
JDP29_b	2
JDP30_a	2
JDP30_b	2
JDP31_a	2
JDP31_b	2
JDP32_a	2
JDP32_b	2
JDP33_a	2
JDP33_b	2
JDP35_a	2
JDP35_b	2
JDP36_a	2
JDP36_b	2
JDE34_a	3
JDE34_b	3
JDE37_a	3
JDE37_b	3
JDE39_a	3
JDE39_b	3
JDE40_a	3
JDE40_b	3
JDE41_a	3
JDE41_b	3
JDE42_a	3
JDE42_b	3
JDR03_a	4
JDR03_b	4
JDR04_a	4
JDR04_b	4
JDR05_a	4
JDR05_b	4
JDR06_a	4
JDR06_b	4
JDR08_a	4
JDR08_b	4
JDR09_a	4
JDR09_b	4
JDR10_a	4
JDR10_b	4
JDR11_a	4
JDR11_b	4
JDR14_a	4
JDR14_b	4
JDR15_a	4
JDR15_b	4
JDR16_a	4
JDR16_b	4
JDR17_a	4
JDR17_b	4
JDR19_a	4
JDR19_b	4
JDR21_a	4
JDR21_b	4
JDR22_a	4
JDR22_b	4
JDR25_a	4
JDR25_b	4
JDR26_a	4
JDR26_b	4
JDR27_a	4
JDR27_b	4
JDR28_a	4
JDR28_b	4
JDR29_a	4
JDR29_b	4
JDR30_a	4
JDR30_b	4
JDR32_a	4
JDR32_b	4
JDR33_a	4
JDR33_b	4
JDR34_a	4
JDR34_b	4
JDR36_a	4
JDR36_b	4
JDR37_a	4
JDR37_b	4
JDR38_a	4
JDR38_b	4
JDR39_a	4
JDR39_b	4
JDZ03_a	4
JDZ03_b	4
JDZ04_a	4
JDZ04_b	4
JDZ05_a	4
JDZ05_b	4
JDZ08_a	4
JDZ08_b	4
JDZ09_a	4
JDZ09_b	4
JDZ10_a	4
JDZ10_b	4
JDZ11_a	4
JDZ11_b	4
JDZ12_a	4
JDZ12_b	4
JDZ13_a	4
JDZ13_b	4
JDZ14_a	4
JDZ14_b	4
JDZ15_a	4
JDZ15_b	4
JDZ162_a	4
JDZ162_b	4
JDZ169_a	4
JDZ169_b	4
JDZ171_a	4
JDZ171_b	4
JDZ17_a	4
JDZ17_b	4
